,0
223,64.390625
224,58.359375
225,45.1953125
226,57.6015625
227,98.03125
228,80.6484375
229,85.796875
230,87.8984375
231,46.8046875
232,71.0859375
233,67.5078125
234,105.3515625
235,67.8515625
236,90.2421875
237,92.7109375
238,40.734375
239,71.875
240,84.1796875
241,61.4453125
242,37.078125
243,58.953125
244,66.3984375
245,45.5703125
246,76.0234375
247,67.0
248,79.3046875
249,83.6875
250,103.1484375
251,53.2265625
252,51.0546875
253,36.0234375
254,125.7578125
255,91.6796875
256,50.4921875
257,78.5859375
258,119.171875
259,78.5625
260,36.3671875
261,66.375
262,85.3828125
263,64.578125
264,76.9453125
265,66.1484375
266,42.5390625
267,76.5546875
268,108.390625
269,57.5078125
270,104.625
271,39.734375
272,85.59375
273,65.7578125
274,102.90625
275,38.921875
276,134.7265625
277,49.6328125
278,111.8671875
279,72.7265625
280,88.6875
281,58.296875
282,70.5546875
283,56.5078125
284,50.4296875
285,30.078125
286,72.5390625
287,36.203125
288,45.3828125
289,68.7890625
290,77.0859375
291,48.96875
292,84.3828125
293,136.703125
294,74.1328125
295,109.1875
296,135.0078125
297,37.640625
298,65.4296875
299,29.6640625
300,45.125
301,54.6015625
302,112.015625
303,99.7578125
304,77.2109375
305,32.84375
306,96.5234375
307,140.4296875
308,120.1171875
309,75.4453125
310,38.4921875
311,102.3515625
312,144.1171875
313,52.25
314,79.1171875
315,41.171875
316,34.3671875
317,62.7578125
318,138.1875
319,71.3828125
320,72.2421875
321,64.3671875
322,50.3984375
323,33.3984375
324,134.6015625
325,53.140625
326,41.8359375
327,81.2109375
328,55.4453125
329,44.890625
330,89.28125
331,81.3671875
332,108.125
333,54.6796875
334,67.703125
335,110.0234375
336,77.8984375
337,35.4765625
338,112.8515625
339,47.515625
340,89.0703125
341,73.9375
342,72.3359375
343,76.2265625
344,74.453125
345,64.0859375
346,77.6875
347,57.5078125
348,107.1484375
349,75.28125
350,72.421875
351,76.7421875
352,43.765625
353,56.5234375
354,49.90625
355,88.890625
356,80.1875
357,52.0
358,59.8046875
359,53.0078125
360,104.7734375
361,68.4453125
362,73.1796875
363,74.625
364,66.8671875
365,58.90625
366,41.5859375
367,50.7109375
368,43.7578125
369,61.9921875
370,131.7734375
371,36.2265625
372,88.7578125
373,70.4609375
374,81.578125
375,44.3828125
376,73.7265625
377,43.2734375
378,38.28125
379,135.3125
380,94.4296875
381,78.8203125
382,30.578125
383,82.0234375
384,44.1015625
385,78.9765625
386,115.9609375
387,44.78125
388,86.328125
389,80.5078125
390,89.4765625
391,55.4296875
392,114.0390625
393,70.8203125
394,43.9765625
395,75.25
396,81.625
397,36.2890625
398,62.96875
399,71.953125
400,45.5234375
401,137.96875
402,111.9921875
403,90.984375
404,57.2421875
405,84.6953125
406,103.1171875
407,42.4765625
408,79.9140625
409,45.6953125
410,104.6796875
411,64.3984375
412,71.5703125
413,57.3203125
414,85.7734375
415,72.5078125
416,82.7734375
417,140.28125
418,96.7109375
419,65.75
420,69.453125
421,33.765625
422,54.28125
423,67.4140625
424,53.8828125
425,42.5078125
426,47.4296875
427,60.1953125
428,59.0
429,62.0703125
430,36.5
431,97.2890625
432,89.9140625
433,113.5390625
434,106.921875
435,79.4140625
436,66.796875
437,72.9609375
438,74.6796875
439,84.9765625
440,51.03125
441,103.1328125
442,89.2421875
443,109.7578125
444,37.859375
445,75.4921875
446,44.703125
447,105.6171875
448,61.546875
449,43.2890625
450,52.453125
451,112.4453125
452,83.5859375
453,50.609375
454,76.21875
455,50.1796875
456,79.078125
457,67.84375
458,48.296875
459,91.109375
460,80.3359375
461,34.4921875
462,100.5390625
463,36.4921875
464,99.328125
465,76.984375
466,51.578125
467,85.1796875
468,50.8515625
469,57.8203125
470,44.6875
471,85.7421875
472,92.1640625
473,47.4765625
474,59.5234375
475,65.4609375
476,62.1640625
477,133.953125
478,126.890625
479,123.8828125
480,126.1640625
481,80.5390625
482,107.2734375
483,73.2734375
484,73.4453125
485,23.03125
486,141.6328125
487,49.4453125
488,86.7265625
489,90.1953125
490,67.3359375
491,96.296875
492,134.984375
493,73.8359375
494,54.359375
495,46.3359375
496,87.796875
497,77.75
498,54.78125
499,29.7421875
